a	ˈ aː
afgreiddar	ˈ aː f k r ei t a r
afgreiddi	ˈ aː f k r ei t ɪ
afgreitt	ˈ aː f k r ei h t
afgreiða	ˈ aː f k r ei ð a
afgreiði	ˈ aː f k r ei ð ɪ
afgreiðsla	ˈ aː f k r ei ð s t l a
afgreiðslu	ˈ aː f k r ei ð s t l ʏ
afgreiðslugjöld	ˈ aː f k r ei ð s t l ʏ c ˌ œ l t
afgreiðslunefnd	ˈaː f k r ei ð s t l ʏ n ˌɛ m t
afgreiðslustelpan	ˈaː f k r ei ð s t l ʏ s t ˌɛ l̥ p a n
afgreiðslutíma	ˈ aː f k r ei ð s t l ʏ tʰ ˌ i m a
afhenda	ˈ aː f h ɛ n t a
afhendi	ˈ aː f h ɛ n t ɪ
afhending	ˈ aː f h ɛ n t i ŋ k
afhendingar	ˈ aː f h ɛ n t i ŋ k a r
afhendingu	ˈ aː f h ɛ n t i ŋ k ʏ
afhendir	ˈ aː f h ɛ n t ɪ r
afhent	ˈ aː f h ɛ n̥ t
afhenta	ˈ aː f h ɛ n̥ t a
afhentan	ˈ aː f h ɛ n̥ t a n
afhentar	ˈ aː f h ɛ n̥ t a r
afhenti	ˈ aː f h ɛ n̥ t ɪ
afhentir	ˈ aː f h ɛ n̥ t ɪ r
afhentu	ˈ aː f h ɛ n̥ t ʏ
afhentur	ˈ aː f h ɛ n̥ t ʏ r
afhjúpa	ˈ aː f ç u p a
afhjúpað	ˈ aː f ç u p a ð
afhomma	ˈa f h ɔ m a
afhroð	ˈ a f r̥ ɔ ð
afhverju	ˈ aː f kʰ v ɛ r j ʏ
afhöggvinn	ˈaː f h œ k v ˌɪ n
afi	ˈ aː v ɪ
afkastagetu	ˈ aː f kʰ a s t a c ˌ ɛ t ʏ
afkastamikill	ˈ aː f kʰ a s t a m ˌ ɪ c ɪ t l̥
afklæddist	ˈ aː f kʰ l ai t ɪ s t
afklæðast	ˈ aː f kʰ l ai ð a s t
afkoma	ˈ aː f kʰ ɔ m a
afkoman	ˈ aː f kʰ ɔ m a n
afkomandi	ˈ aː f kʰ ɔ m a n t ɪ
afkomenda	ˈ aː f kʰ ɔ m ɛ n t a
afkomendum	ˈ aː f kʰ ɔ m ɛ n t ʏ m
afkomendur	ˈ aː f kʰ ɔ m ɛ n t ʏ r
afkomu	ˈ aː f kʰ ɔ m ʏ
afkomukreppu	ˈaː f kʰ ɔ m ʏ kʰ r ˌɛ h p ʏ
afkomuna	ˈ aː f kʰ ɔ m ʏ n a
afkomutölur	ˈ aː f kʰ ɔ m ʏ tʰ ˌ œ l ʏ r
afkvæmarannsókn	ˈaː f kʰ v ai m a r ˌa n s ou h k n̥
afkvæmi	ˈ aː f kʰ v ai m ɪ
afkvæmum	ˈ aː f kʰ v ai m ʏ m
afköst	ˈ aː f kʰ œ s t
afköstum	ˈ aː f kʰ œ s t ʏ m
afl	ˈ a p l̥
afla	ˈ a p l a
aflabrögð	ˈ a p l a p r ˌ œ ɣ ð
aflaheimild	ˈ a p l a h ˌ ei m ɪ l t
aflaheimilda	ˈ a p l a h ˌ ei m ɪ l t a
aflaheimildir	ˈ a p l a h ˌ ei m ɪ l t ɪ r
aflaheimildum	ˈ a p l a h ˌ ei m ɪ l t ʏ m
aflahlutdeild	ˈ a p l a l̥ ʏ t t ˌ ei l t
aflahlutdeildum	ˈ a p l a l̥ ʏ t t ˌ ei l t ʏ m
aflamark	ˈ a p l a m ˌ a r̥ k
aflamarki	ˈ a p l a m ˌ a r̥ c ɪ
aflamarks	ˈ a p l a m ˌ a r̥ k s
aflamarksbátum	ˈa p l a m a r̥ k s p ˌau t ʏ m
aflamarkskerfi	ˈ a p l a m a r̥ k s cʰ ˌ ɛ r v ɪ
aflandsfélög	ˈ aː f l a n t s f j ˌ ɛ l œ ɣ
aflann	ˈ a p l a n
aflans	ˈ a p l a n s
aflanum	ˈ a p l a n ʏ m
aflar	ˈ a p l a r
aflaskýrslu	ˈa p l a s c ˌi r̥ s t l ʏ
aflausn	ˈ aː f l œy s t n̥
aflaverðmæti	ˈ a p l a v ɛ r ð m ˌ ai t ɪ
aflað	ˈ a p l a ð
aflaði	ˈ a p l a ð ɪ
afleggjaranum	ˈ a v l ɛ c a r a n ʏ m
afleidd	ˈ aː f l ei t
afleit	ˈ aː f l ei t
afleitt	ˈ aː f l ei h t
afleiða	ˈ aː f l ei ð a
afleiðing	ˈ aː f l ei ð i ŋ k
afleiðinga	ˈ aː f l ei ð i ŋ k a
afleiðingar	ˈ aː f l ei ð i ŋ k a r
afleiðingarnar	ˈ aː f l ei ð i ŋ k a r t n a r
afleiðingin	ˈ aː f l ei ð i ɲ c ɪ n
afleiðingu	ˈ aː f l ei ð i ŋ k ʏ
afleiðingum	ˈ aː f l ei ð i ŋ k ʏ m
afleiðingunum	ˈ aː f l ei ð i ŋ k ɔ n ʏ m
afli	ˈ a p l ɪ
aflinn	ˈ a p l ɪ n
aflið	ˈ aː f l ɪ ð
afloknum	ˈ aː f l ɔ h k n ʏ m
afls	ˈ a p l s
afláts	ˈ aː f l au t s
aflétt	ˈ aː f l j ɛ h t
aflétta	ˈ aː f l j ɛ h t a
aflýsa	ˈ aː f l i s a
aflýst	ˈ aː f l i s t
afmarka	ˈ aː f m a r̥ k a
afmarkast	ˈ aː f m a r̥ k a s t
afmarkað	ˈ aː f m a r̥ k a ð
afmarkaða	ˈ aː f m a r̥ k a ð a
afmarkaður	ˈ aː f m a r̥ k a ð ʏ r
afmá	ˈ a v m au
afmæli	ˈ aː f m ai l ɪ
afmælinu	ˈ aː f m ai l ɪ n ʏ
afmælis	ˈ aː f m ai l ɪ s
afmælisbarns	ˈaː f m ai l ɪ s p ˌa r̥ s
afmælisdaginn	ˈ aː f m ai l ɪ s t ˌ ai j ɪ n
afmælisdagur	ˈ aː f m ai l ɪ s t ˌ a ɣ ʏ r
afmælisdegi	ˈ aː f m ai l ɪ s t ˌ ei j ɪ
afmælisgjöf	ˈ aː f m ai l ɪ s c ˌ œ v
afmælisins	ˈ aː f m ai l ɪ s ɪ n s
afmælissamkomu	ˈaː f m ai l ɪ s s ˌa m kʰ ɔ m ʏ
afmælissönginn	ˈ aː f m ai l ɪ s s ˌ œy ɲ c ɪ n
afmælissöngnum	ˈaː f m ai l ɪ s s ˌœy ŋ n ʏ m
afmælisveislan	ˈ aː f m ai l ɪ s v ˌ ei s t l a n
afmælisveislu	ˈ aː f m ai l ɪ s v ˌ ei s t l ʏ
afmælið	ˈ aː f m ai l ɪ ð
afmörkun	ˈ aː f m œ r̥ k ʏ n
afmörkuð	ˈ aː f m œ r̥ k ʏ ð
afmörkuðu	ˈ aː f m œ r̥ k ʏ ð ʏ
afmörkuðum	ˈ aː f m œ r̥ k ʏ ð ʏ m
afneita	ˈ aː f n ei t a
afneitun	ˈ aː f n ei t ʏ n
afnema	ˈ aː f n ɛ m a
afnot	ˈ aː f n ɔ t
afnota	ˈ aː f n ɔ t a
afnotarétt	ˈ aː f n ɔ t a r j ˌ ɛ h t
afnumin	ˈ aː f n ʏ m ɪ n
afnuminn	ˈ aː f n ʏ m ɪ n
afnumið	ˈ aː f n ʏ m ɪ ð
afnám	ˈ aː f n au m
afnámi	ˈ aː f n au m ɪ
afnáms	ˈ aː f n au m s
afoxun	ˈaː v ɔ k s ʏ n
afplána	ˈ aː f pʰ l au n a
afplánað	ˈ aː f pʰ l au n a ð
afplánun	ˈ a v pʰ l au n ʏ n
afrakstur	ˈ aː f r a k s t ʏ r
afraksturinn	ˈ aː f r a k s t ʏ r ɪ n
afrek	ˈ aː f r ɛ k
afreka	ˈ aː f r ɛ k a
afrekað	ˈ a v r ɛ k a ð
afrekum	ˈ aː f r ɛ k ʏ m
africa	ˈ a f r ɪ k a
african	ˈ a f r ɪ k a n
afrifu	ˈaː f r ɪ v ʏ
afrit	ˈ aː f r ɪ t
afritunarhnappinn	ˈaː f r ɪ t ʏ n a r n̥ a h p ɪ n
afrétti	ˈ aː f r j ɛ h t ɪ
afríka	ˈ aː f r i k a
afríku	ˈ aː f r i k ʏ
afríkuverkefnisins	ˈaː f r i k ʏ v ˌɛ r̥ k ɛ p n ɪ s ɪ n s
afsagnar	ˈ aː f s a k n a r
afsaka	ˈ aː f s a k a
afsakanir	ˈ a f s a k a n ɪ r
afsakanirnar	ˈ a f s a k a n ɪ r t n a r
afsal	ˈ aː f s a l
afsala	ˈ aː f s a l a
afsalað	ˈ a f s a l a ð
afsalaði	ˈ a f s a l a ð ɪ
afsali	ˈ aː f s a l ɪ
afsalinu	ˈ aː f s a l ɪ n ʏ
afsals	ˈ aː f s a l s
afskaplega	ˈ aː f s k a p l ˌ ɛ ɣ a
afskekkt	ˈ aː f s c ɛ x t
afskekkta	ˈ aː f s c ɛ x t a
afskekktan	ˈ aː f s c ɛ x t a n
afskekktum	ˈ aː f s c ɛ x t ʏ m
afskipta	ˈ aː f s c ɪ f t a
afskiptalaus	ˈ aː f s c ɪ f t a l ˌ œy s
afskiptalausa	ˈ aː f s c ɪ f t a l ˌ œy s a
afskiptasemi	ˈ a f s c ɪ f t a s ɛ m ɪ
afskipti	ˈ aː f s c ɪ f t ɪ
afskiptum	ˈ aː f s c ɪ f t ʏ m
afskrifa	ˈ aː f s k r ɪ v a
afskrifað	ˈ aː f s k r ɪ v a ð
afskrifaðar	ˈ aː f s k r ɪ v a ð a r
afskrifta	ˈ aː f s k r ɪ f t a
afskriftareikning	ˈ aː f s k r ɪ f t a r ei h k n i ŋ k
afskriftir	ˈ aː f s k r ɪ f t ɪ r
afskriftum	ˈ aː f s k r ɪ f t ʏ m
afskræmt	ˈ aː f s k r ai m̥ t
afslappaður	ˈ a f s t l a h p a ð ʏ r
afslátt	ˈ aː f s t l au h t
afsláttar	ˈ aː f s t l au h t a r
afsláttur	ˈ aː f s t l au h t ʏ r
afslætti	ˈ aː f s t l ai h t ɪ
afsprengi	ˈ aː f s p r ei ɲ c ɪ
afstaða	ˈ aː f s t a ð a
afstaðan	ˈ aː f s t a ð a n
afstætt	ˈ aː f s t ai h t
afstæður	ˈ aː f s t ai ð ʏ r
afstöðu	ˈ aː f s t œ ð ʏ
afstöðubreytingu	ˈaː f s t œ ð ʏ p r ˌei t i ŋ k ʏ
afstýra	ˈ aː f s t i r a
afstýrt	ˈ aː f s t i r̥ t
afsögn	ˈ aː f s œ k n̥
afsökun	ˈ aː f s œ k ʏ n
afsökunar	ˈ aː f s œ k ʏ n a r
afsökunarbeiðni	ˈ aː f s œ k ʏ n a r p ˌ ei ð n ɪ
aftan	ˈ a f t a n
aftansöngur	ˈ a f t a n s ˌ œy ŋ k ʏ r
aftar	ˈ a f t a r
aftari	ˈ a f t a r ɪ
aftarlega	ˈ a f t a r l ˌ ɛ ɣ a
aftast	ˈ a f t a s t
aftenposten	ˈ a f t ɛ n pʰ ou s t ɛ n
after	ˈ a f t ɛ r
aftonbladet	ˈ a f t ɔ n p l a t ɛ t
aftra	ˈ a f t r a
aftur	ˈ a f t ʏ r
afturelding	ˈ a f t ʏ r ˌ ɛ l t i ŋ k
aftureldingar	ˈ a f t ʏ r ˌ ɛ l t i ŋ k a r
aftureldingu	ˈ a f t ʏ r ɛ l t i ŋ k ʏ
afturenda	ˈ a f t ʏ r ɛ n t a
afturendann	ˈ a f t ʏ r ˌ ɛ n t a n
afturför	ˈ a f t ʏ r f ˌ œ r
afturgluggann	ˈa f t ʏ r k l ˌʏ k a n
afturgoldið	ˈa f t ʏ r k ˌɔ l t ɪ ð
afturgöngu	ˈa f t ʏ r k ˌœy ŋ k ʏ
afturgöngur	ˈ a f t ʏ r k ˌ œy ŋ k ʏ r
afturhald	ˈ a f t ʏ r h ˌ a l t
afturhvarf	ˈ a f t ʏ r kʰ v ˌ a r f
afturkalla	ˈ a f t ʏ r kʰ ˌ a t l a
afturkallað	ˈ a f t ʏ r kʰ ˌ a t l a ð
afturkvæmt	ˈ a f t ʏ r kʰ v ˌ ai m̥ t
afturköllun	ˈ a f t ʏ r kʰ ˌ œ t l ʏ n
afturkölluð	ˈ a f t ʏ r kʰ ˌ œ t l ʏ ð
afturlappirnar	ˈ a f t ʏ r l ˌ a h p ɪ r t n a r
afturstuðarann	ˈa f t ʏ r s t ʏ ð a r a n
aftursæti	ˈ a f t ʏ r s ˌ ai t ɪ
aftursætið	ˈ a f t ʏ r s ˌ ai t ɪ ð
afturvirkt	ˈ a f t ʏ r v ˌ ɪ r̥ t
afturábak	ˈ a f t ʏ r au p a k
afturí	ˈ a f t ʏ r i
aftöku	ˈ aː f tʰ œ k ʏ
aftökur	ˈ aː f tʰ œ k ʏ r
afurð	ˈ aː f ʏ r ð
afurða	ˈ aː v ʏ r ð a
afurðanna	ˈ aː f ʏ r ð a n a
afurðasamsetning	ˈaː v ʏ r ð a s ˌa m s ɛ h t n i ŋ k
afurðatekjum	ˈaː v ʏ r ð a tʰ ˌɛ c ʏ m
afurðaverð	ˈ aː v ʏ r ð a v ˌ ɛ r ð
afurðir	ˈ aː f ʏ r ð ɪ r
afurðirnar	ˈ aː f ʏ r ð ɪ r t n a r
afurðum	ˈ aː f ʏ r ð ʏ m
afviknum	ˈ aː f v ɪ h k n ʏ m
afvopna	ˈ aː f v ɔ h p n a
afvopnun	ˈ aː f v ɔ h p n ʏ n
afþakkað	ˈ aː f θ a h k a ð
afþakkaði	ˈ aː f θ a h k a ð ɪ
afþreying	ˈ aː f θ r ei j i ŋ k
afþreyingar	ˈ aː f θ r ei i ŋ k a r
afþreyingu	ˈ aː f θ r ei i ŋ k ʏ
aga	ˈ aː ɣ a
again	ˈ a c ɛ n
agalegt	ˈ aː ɣ a l ɛ x t
aganefnd	ˈ aː ɣ a n ˌ ɛ m t
age	ˈ eiː t s
aged	ˈeiː t s t
agency	ˈ eiː t j ɛ n s i
agent	ˈ ei t j ɛ n̥ t
agenta	ˈeiː t j ɛ n̥ t a
agentana	ˈeiː t j ɛ n̥ t a n a
agentar	ˈeiː t j ɛ n̥ t a r
agentinn	ˈeiː t j ɛ n̥ t ɪ n
agents	ˈ eiː t j ɛ n̥ t s
agentum	ˈeiː t j ɛ n̥ t ʏ m
agf	ˈaː k j ɛː ɛ f
aggagagg	ˈa k a k a k
agger	ˈ a c ɛ r
aggi	ˈ a c ɪ
agi	ˈ ai j ɪ
aginn	ˈ ai j ɪ n
agitera	ˈa c ɪ tʰ ɛ r a
agiterað	ˈa c ɪ tʰ ɛ r a ð
agla	ˈ a k l a
agli	ˈ a k l ɪ
agn	ˈ a k n̥
agnar	ˈ a k n a r
agnarpunkts	ˈa k n a r pʰ ˌu n̥ t s
agnars	ˈ a k n a r̥ s
agnarsdóttir	ˈ a k n a r̥ s t ˌ ou h t ɪ r
agnarsson	ˈ a k n a r̥ s s ˌ ɔ n
agnes	ˈ a k n ɛ s
agnesar	ˈ a k n ɛ s a r
agnesi	ˈ a k n ɛ s ɪ
agressíf	ˈaː k r ɛ s i v
agressífa	ˈaː k r ɛ s i v a
agressífar	ˈaː k r ɛ s i v a r
agressífari	ˈaː k r ɛ s i v a r ɪ
agressífastur	ˈaː k r ɛ s i v a s t ʏ r
agressífir	ˈaː k r ɛ s i v ɪ r
agressífra	ˈaː k r ɛ s i v r a
agressífri	ˈaː k r ɛ s i v r ɪ
agressíft	ˈaː k r ɛ s i f t
agressífu	ˈaː k r ɛ s i v ʏ
agressífum	ˈaː k r ɛ s i v ʏ m
agressífur	ˈaː k r ɛ s i v ʏ r
agressív	ˈaː k r ɛ s i v
agressíva	ˈaː k r ɛ s i v a
agressívan	ˈaː k r ɛ s i v a n
agressívar	ˈaː k r ɛ s i v a r
agressívara	ˈaː k r ɛ s i v a r a
agressívari	ˈ aː k r ɛ s i v a r ɪ
agressívi	ˈaː k r ɛ s i v ɪ
agressívir	ˈ aː k r ɛ s i v ɪ r
agressívra	ˈaː k r ɛ s i v r a
agressívri	ˈaː k r ɛ s i v r ɪ
agressívt	ˈaː k r ɛ s i v t
agressívu	ˈaː k r ɛ s i v ʏ
agressívum	ˈaː k r ɛ s i v ʏ m
agressívur	ˈ aː k r ɛ s i v ʏ r
ags	ˈa c j ɛː ɛ s
agúrka	ˈ aː k u r̥ k a
agúrkan	ˈaː k u r̥ k a n
agúrkna	ˈaː k u r̥ k n a
agúrku	ˈ aː k u r̥ k ʏ
agúrkum	ˈ aː k u r̥ k ʏ m
agúrkuna	ˈaː k u r̥ k ʏ n a
agúrkunnar	ˈaː k u r̥ k ʏ n a r
agúrkunni	ˈaː k u r̥ k ʏ n ɪ
agúrkunum	ˈaː k u r̥ k ɔ n ʏ m
agúrkur	ˈ aː k u r̥ k ʏ r
agúrkurnar	ˈaː k u r̥ k ʏ r t n a r
agúrkusalat	ˈa k u r̥ k ʏ s a l a t
agúrkusneið	ˈaː k u r̥ k ʏ s t n ei ð
agúrkusneiðar	ˈaː k u r̥ k ʏ s t n ei ð a r
agúrkusneiðum	ˈaː k u r̥ k ʏ s t n ei ð ʏ m
agüero	ˈa k u ɛ r ou
ahmadinejad	ˈ a x m a t i n ei j a t
ahmed	ˈ a x m ɛ t
aid	ˈ eiː t
aik	ˈaː ɪː kʰ auː
aim	ˈ eiː m
ain't	ˈ ei n̥ t
air	ˈ ɛː r
airbnb	ˈ ɛː r p n p
airbus	ˈ ɛː r̥ p œ s
aircraft	ˈ ɛː r̥ kʰ r a f t
aires	ˈ aiː r ɛ s
airline	ˈ ɛː r l ai n
airlines	ˈ ɛː r l ai n s
airport	ˈ ɛː r̥ pʰ ɔ r̥ t
ajax	ˈ ai j a k s
aka	ˈ aː k a
akademíunnar	ˈ aː k a t ɛ m i j ʏ n a r
akandi	ˈ aː k a n t ɪ
aki	ˈ aː c ɪ
akkeri	ˈ aː k cʰ ɛ r ɪ
akkilesarhæll	ˈ a h c ɪ l ɛ s a r h ˌ ai t l̥
akkillesarhæll	ˈa h c ɪ l ɛ s a r h ˌai t l̥
akkúrat	ˈ a h k u r a t
aknet	ˈaː k n ɛ t
akrafjall	ˈ aː k r a f j ˌ a t l̥
akrahreppi	ˈ aː k r a r̥ ˌ ɛ h p ɪ
akranes	ˈ aː k r a n ˌ ɛ s
akranesi	ˈ aː k r a n ˌ ɛ s ɪ
akraneskaupstaðar	ˈ aː k r a n ɛ s kʰ œy p s t a ð a r
akraneskirkja	ˈaː k r a n ɛ s cʰ ˌɪ r̥ c a
akraness	ˈ aː k r a n ˌ ɛ s
akrar	ˈ aː k r a r
akrein	ˈ aː k r ei n
akreina	ˈ aː k r ei n a
akreinar	ˈ aː k r ei n a r
akri	ˈ aː k r ɪ
akrinum	ˈ aː k r ɪ n ʏ m
akrópólis	ˈ aː k r ou pʰ ou l ɪ s
akstri	ˈ a k s t r ɪ
akstur	ˈ a k s t ʏ r
aksturinn	ˈ a k s t ʏ r ɪ n
aksturs	ˈ a k s t ʏ r̥ s
akstursklúbbi	ˈa k s t ʏ r̥ s kʰ l ˌu p ɪ
akstursleiðin	ˈ a k s t ʏ r̥ s l ˌ ei ð ɪ n
aktygi	ˈaː k tʰ i j ɪ
aktífir	ˈ a x t i v ɪ r
aktífur	ˈ a x t i v ʏ r
akurbrekku	ˈaː k ʏ r p r ˌɛ h k ʏ
akureyrar	ˈ aː k ʏ r ei r a r
akureyrarbæ	ˈ aː k ʏ r ei r a r p ai
akureyrarbæjar	ˈ aː k ʏ r ei r a r p ai j a r
akureyrarbær	ˈ aː k ʏ r ei r a r p ai r
akureyrarflugvelli	ˈ aː k ʏ r ei r a r f l ʏ ɣ v ɛ t l ɪ
akureyrarkirkja	ˈ aː k ʏ r ei r a r cʰ ɪ r̥ c a
akureyrarkirkju	ˈ aː k ʏ r ei r a r cʰ ɪ r̥ c ʏ
akureyri	ˈ aː k ʏ r ˌ ei r ɪ
akureyringa	ˈ aː k ʏ r ei r i ŋ k a
akureyringar	ˈ aː k ʏ r ei r i ŋ k a r
akuryrkju	ˈ aː k ʏ r ɪ r̥ c ʏ
akvarellu	ˈaː kʰ v a r ɛ l ʏ
al	ˈ aː l
ala	ˈ aː l a
alain	ˈ aː l a n
alan	ˈ aː l a n
alaska	ˈ aː l a s k a
alaskaösp	ˈ aː l a s k a ˌ œ s p
alast	ˈ aː l a s t
alaves	ˈ aː l a v ɛ s
alba	ˈ a l p a
albanía	ˈ a l p a n i j a
albaníu	ˈ a l p a n ˌ i ʏ
albert	ˈ a l p ɛ r̥ t
alberto	ˈ a l p ɛ r̥ t ou
alberts	ˈ a l p ɛ r̥ t s
albertsdóttir	ˈ a l p ɛ r̥ t s t ˌ ou h t ɪ r
albertsson	ˈ a l p ɛ r̥ t s s ˌ ɔ n
albion	ˈ a l p i j ɔ n
albjart	ˈa l p j a r̥ t
album	ˈ a l p u m
alcan	ˈ a l̥ k a n
alcohol	ˈ a l̥ k ou h ɔ l
alda	ˈ a l t a
aldamót	ˈ a l t a m ˌ ou t
aldamótin	ˈ a l t a m ˌ ou t ɪ n
aldamótum	ˈ a l t a m ˌ ou t ʏ m
aldanna	ˈ a l t a n a
aldar	ˈ a l t a r
aldarfjórðung	ˈ a l t a r f j ˌ ou r ð u ŋ k
aldarfjórðungi	ˈ a l t a r f j ˌ ou r ð u ɲ c ɪ
aldarinnar	ˈ a l t a r ɪ n a r
aldeilis	ˈ a l t ei l ɪ s
aldimmt	ˈ a l t ɪ m̥ t
aldin	ˈ a l t ɪ n
aldinkjötið	ˈ a l t ɪ n cʰ ˌ œ t ɪ ð
aldir	ˈ a l t ɪ r
aldirnar	ˈ a l t ɪ r t n a r
aldna	ˈ a l t n a
aldnir	ˈ a l t n ɪ r
aldraða	ˈ a l t r a ð a
aldraðir	ˈ a l t r a ð ɪ r
aldraðra	ˈ a l t r a ð r a
aldraður	ˈ a l t r a ð ʏ r
aldrei	ˈ a l t r ei
aldri	ˈ a l t r ɪ
aldrinum	ˈ a l t r ɪ n ʏ m
aldur	ˈ a l t ʏ r
aldurinn	ˈ a l t ʏ r ɪ n
aldurs	ˈ a l t ʏ r̥ s
aldursflokki	ˈ a l t ʏ r̥ s f l ˌ ɔ h c ɪ
aldursflokkum	ˈ a l t ʏ r̥ s f l ˌ ɔ h k ʏ m
aldurshópa	ˈ a l t ʏ r̥ s h ˌ ou p a
aldurshópnum	ˈ a l t ʏ r̥ s h ˌ ou h p n ʏ m
aldurshópum	ˈ a l t ʏ r̥ s h ˌ ou p ʏ m
aldurshópur	ˈ a l t ʏ r̥ s h ˌ ou p ʏ r
aldursmunur	ˈ a l t ʏ r̥ s m ˌ ʏ n ʏ r
aldurstakmark	ˈ a l t ʏ r̥ s tʰ ˌ a k m a r̥ k
aldurstakmarkið	ˈ a l t ʏ r̥ s tʰ ˌ a k m a r̥ c ɪ ð
aldurstengds	ˈa l t ʏ r̥ s tʰ ˌei ŋ t s
aldursári	ˈ a l t ʏ r s ˌ au r ɪ
aldurtila	ˈ a l t ʏ r tʰ ˌ ɪ l a
aldís	ˈ a l t i s
ale	ˈ eiː l
alefli	ˈ aː l ɛ p l ɪ
aleksandar	ˈ aː l ɛ k s a n t a r
alelda	ˈ aː l ɛ l t a
alessandro	ˈ aː l ɛ s a n t r ɔ
alex	ˈ aː l ɛ k s
alexander	ˈ aː l ɛ k s a n t ɛ r
alexanders	ˈ aː l ɛ k s a n t ɛ r̥ s
alexandersson	ˈ aː l ɛ k s a n t ɛ r̥ s s ˌ ɔ n
alexandra	ˈ aː l ɛ k s a n t r a
alexandre	ˈ aː l ɛ k s a n t ɛ r
alfa	ˈ a l f a
alfarið	ˈ a l f a r ɪ ð
alfred	ˈ a l f r ɛ t
alfreðs	ˈ a l f r ɛ ð s
alfreðsdóttir	ˈ a l f r ɛ ð s t ˌ ou h t ɪ r
alfreðsson	ˈ a l f r ɛ ð s s ˌ ɔ n
alfreðssonar	ˈ a l f r ɛ ð s s ˌ ɔ n a r
alfræðiorðabókin	ˈa l f r ai ð ɪ ˌɔ r ð a p ou c ɪ n
