aaron	a: r O n
aflýst	a v l i s t
afmælisbarns	a v m ai l I s p a r_0 s
afmælisdaginn	a v m ai l I s t ai j I n
afmælisdegi	a v m ai l I s t ei j I
afmælisgjöf	a v m ai l I s c 9 f
afmælissamkomu	a v m ai l I s a m k_h O m Y
afmælissönginn	a v m ai l I s 9i J c I n
afmælissöngnum	a v m ai l I s 9i N n Y m
afmælisveislan	a v m ai l I s v ei s t l a n
afmælisveislu	a v m ai l I s v ei s t l Y
afmælið	a v m ai l I D
afmörkuð	a v m 9 r_0 k Y D
afmörkuðu	a v m 9 r_0 k Y D Y
afneita	a v n ei t a
afnot	a v n O t
afnota	a v n O t a
afnotarétt	a v n O t a r j E h t
afnumin	a v n Y m I n
afnám	a v n au m
afnámi	a v n au m I
afoxun	a: v O k s Y n
afplánun	a v p_h l au n Y n
afrakstur	a v r a k s t Y r
afraksturinn	a v r a k s t Y r I n
afrek	a v r E k
afrifu	a v r I v Y
afrit	a v r I t
afritunarhnappinn	a v r I t Y n a r_0 n_0 a h p I n
afrétti	a v r j E h t I
afríku	a f r i k Y
afríkuverkefnisins	a f r i k Y v E r_0 c E p n I s I n s
afsaka	a f s a k a
afsakanirnar	a f s a k a n I r t n a r
afsal	a f s a l
afsali	a f s a l I
afskaplega	a f s k a p l E G a
afskekkt	a f s c E x t
afskekkta	a f s c E x t a
afskekktan	a f s c E x t a n
afskiptalaus	a f s c I f t a l 9i s
afskiptalausa	a f s c I f t a l 9i s a
afskiptasemi	a f s c I f t a s E m I
afskipti	a f s c I f t I
afskiptum	a f s c I f t Y m
afskrifa	a f s k r I v a
afskriftareikning	a f s k r I f t a r ei h k n i N k
afskræmt	a f s k r ai m_0 t
afslappaður	a f s t l a h p a D Y r
afslátt	a f s t l au h t
afsláttar	a f s t l au h t a r
afsláttur	a f s t l au h t Y r
afslætti	a f s t l ai h t I
afsprengi	a f s p r ei J c I
afstaða	a f s t a D a
afstætt	a f s t ai h t
afstæður	a f s t ai D Y r
afstöðu	a f s t 9 D Y
afstöðubreytingu	a f s t 9 D Y p r ei t i N k Y
afstýra	a f s t i r a
afstýrt	a f s t i r_0 t
afsögn	a f s 9 k n_0
afsökun	a f s 9 k Y n
afsökunarbeiðni	a f s 9 k Y n a r p ei D n I
aftansöngur	a f t a n s 9i N k Y r
aftari	a f t a r I
aftarlega	a f t a r l E G a
aftur	a f t Y r
afturelding	a f t Y r E l t i N k
aftureldingar	a f t Y r E l t i N k a r
afturenda	a f t Y r E n t a
afturendann	a f t Y r E n t a n
afturgluggann	a f t Y r k l Y k a n
afturgoldið	a f t Y r k O l t I D
afturgöngu	a f t Y r_0 k 9i N k Y
afturgöngur	a f t Y r k 9i N k Y r
afturhald	a f t Y r h a l t
afturhvarf	a f t Y r_0 k_h v a r f
afturkalla	a f t Y r_0 k_h a t l a
afturkvæmt	a f t Y r_0 k_h v ai m_0 t
afturlappirnar	a f t Y r l a h p I r t n a r
afturstuðarann	a f t Y r_0 s t Y D a r a n
aftursæti	a f t Y r_0 s ai t I
aftursætið	a f t Y r_0 s ai t I D
afturábak	a f t Y r au p a k
afturí	a f t Y r i
aftöku	a f t_h 9 k Y
aftökur	a f t_h 9 k Y r
afurða	a: v Y r D a
afurðanna	a: v Y r D a n a
afurðasamsetning	a: v Y r D a s a m s E h t n i N k
afurðatekjum	a: v Y r D a t_h E c Y m
afurðir	a: v Y r D I r
afurðum	a: v Y r D Y m
afviknum	a v I h k n Y m
afvopna	a v O h p n a
afvopnun	a v O h p n Y n
afþakkað	a f T a h k a D
afþakkaði	a f T a h k a D I
afþreying	a f T r ei j i N k
afþreyingu	a f T r ei j i N k Y
aga	a: G a
agalegt	a: G a l E x t
aggagagg	a k a k a k
aggi	a c I
agi	ai j I
aginn	ai j I n
agn	a k n_0
agnar	a k n a r
agnarpunkts	a k n a r_0 p_h u n_0 t s
agnars	a k n a r_0 s
agnes	a k n E s
ags	a c j E: E s
aguero	a k v E r ou
aik	a: I: k_h au:
airbus	E: r_0 p 9 s
airlines	E: r l ai n s
aka	a: k a
akkeri	a h c E r I
akkilesarhæll	a h c I l E s a r_0 h ai t l_0
akkúrat	a h k u r a t
aknet	a: k n E t
akrafjall	a: k r a f j a t l_0
akrahreppi	a: k r a r_0 E h p I
akranes	a: k r a n E s
akranesi	a: k r a n E s I
akraneskirkja	a: k r a n E s c_h I r_0 c a
akraness	a: k r a n E s
akrar	a: k r a r
akrein	a: k r ei n
akreina	a: k r ei n a
akreinar	a: k r ei n a r
akrinum	a: k r I n Y m
akrópólis	a: k r ou p_h ou l I s
aksturinn	a k s t Y r I n
akstursklúbbi	a k s t Y r_0 s k_h l u p I
akstursleiðin	a k s t Y r_0 s t l ei D I n
aktygi	a: k t_h i j I
aktífir	a x t i v I r
aktífur	a x t i v Y r
akurbrekku	a: k Y r p r E h k Y
akureyrar	a: k Y r ei r a r
akureyrarbæjar	a: k Y r ei r a r p ai j a r
akureyrarkirkju	a: k Y r ei r a r_0 c_h I r_0 c Y
akureyri	a: k Y r ei r I
akureyringar	a: k Y r ei r i N k a r
akuryrkju	a: k Y r I r_0 c Y
ala	a: l a
alaska	a: l a s k a
alaskaösp	a: l a s k a 9 s p
alast	a: l a s t
alba	a l p a
albaníu	a l p a n i j Y
albert	a l p E r_0 t
alberts	a l p E r_0 t s
albertsson	a l p E r_0 t s O n
albjart	a l p j a r_0 t
alda	a l t a
aldamótin	a l t a m ou t I n
aldar	a l t a r
aldarinnar	a l t a r I n a r
aldeilis	a l t ei l I s
aldimmt	a l t I m_0 t
aldin	a l t I n
aldinkjötið	a l t i n c_h 9 t I D
aldir	a l t I r
aldraðir	a l t r a D I r
aldrei	a l t r ei
aldri	a l t r I
aldur	a l t Y r
aldurinn	a l t Y r I n
aldurs	a l t Y r_0 s
aldursflokkum	a l t Y r_0 s f l O h k Y m
aldurstakmarkið	a l t Y r_0 s t_h a k m a r_0 c I D
aldurstengds	a l t Y r_0 s t_h ei N t s
aldurtila	a l t Y r t_h I l a
aldís	a l t i s
alefli	a: l E p l I
alexander	a: l E k s a n t E r
alexandersson	a: l E k s a n t E r_0 s O n
alexandra	a: l E k s a n t r a
alfarið	a l f a r I D
alfreðs	a l f r E D s
alfreðsdóttir	a l f r E D s t ou h t I r
alfreðsson	a l f r E D s O n
alfreðssonar	a l f r E D s O n a r
alfræðiorðabókin	a l f r ai D I O r D a p ou c I n
alfræðiriti	a l f r ai D I r I t I
algeng	a l c ei N k
algengan	a l c ei N k a n
algengara	a l c ei N k a r a
algengari	a l c ei N k a r I
algengast	a l c ei N k a s t
algengasta	a l c ei N k a s t a
algengi	a l c ei J c I
algengra	a l c ei N k r a
algengt	a l c ei N_0 t
algengum	a l c ei N k Y m
algengust	a l c ei N k Y s t
alger	a l c E r
algerlega	a l c E r l E G a
algerrar	a l c E r a r
algert	a l c E r_0 t
algjör	a l c 9 r
algjöran	a l c 9 r a n
algjörlega	a l c 9 r l E G a
algjörri	a l c 9 r I
algjört	a l c 9 r_0 t
alheimur	a l h ei m Y r
alhliða	a: l_0 I D a
ali	a: l I
alin	a: l I n
alinn	a: l I n
alkalírafhlöður	a l_0 k a l i r a f l_0 9 D Y r
alkominn	a l k_h O m I n
alkunna	a l k_h Y n a
alkunnu	a l k_h Y n Y
alkóa	a l_0 k ou a
alkóhólista	a l_0 k ou h ou l I s t a
all	a t l_0
allan	a t l a n
allar	a t l a r
allavega	a t l a v E G a
allavegana	a t l a v E G a n a
allen	a l E n
allflóknu	a t l f l ou h k n Y
allforhertur	a t l f O r_0 h E r_0 t Y r
allgóður	a t l k ou D Y r
allhressilega	a t l_0 r_0 E s I l E G a
alli	a l I
allir	a t l I r
alllengi	a t l ei J c I
allmargar	a t l m a r k a r
allmikið	a t l m I c I D
allmörgum	a t l m 9 r k Y m
allnokkra	a t l n O h k r a
allnokkrar	a t l n O h k r a r
allnokkrum	a t l n O h k r Y m
allnokkur	a t l n O h k Y r
allnokkuð	a t l n O h k Y D
alloft	a t l O f t
allra	a t l r a
allri	a t l r I
alls	a l s
allsber	a l s p E r
allsberir	a l s p E r I r
allsendis	a l s E n t I s
allsherjarnefnd	a l s h E r j a r n E m t
allsherjarnefndin	a l s h E r j a r n E m t I n
allsherjarsál	a l s h E r j a r_0 s au l
allsherjartákn	a l s h E r j a r_0 t_h au h k n
allsherjarþinginu	a l s h E r j a r_0 T i J c I n Y
allskonar	a l s k_h O n a r
allskostar	a l s k_h O s t a r
allskyns	a l s c I n s
allsráðandi	a l s r au D a n t I
allstaðar	a l s t a D a r
allstóran	a t l_0 s t ou r a n
allstórir	a t l_0 s t ou r I r
allt	a l_0 t
alltaf	a l_0 t a f
alltof	a l_0 t O f
alltsvo	a l_0 t s O
alltumlykjandi	a l_0 t Y m l I c a n t I
alltént	a l_0 t_h j E n_0 t
allur	a t l Y r
allverulega	a t l v E r Y l E G a
allverulegt	a t l v E r Y l E x t
alma	a l m a
almannafæri	a l m a n a f ai r I
almannahagsmunir	a l m a n a h a x s m Y n I r
almannaheilla	a l m a n a h ei t l a
almannakambs	a l m a n a k_h a m p s
almannaskarð	a l m a n a s k a r D
almannatenglar	a l m a n a t_h ei N l a r
almannatrygginga	a l m a n a t_h r I c i N k a
almannatryggingar	a l m a n a t_h r I c i N k a r
almannavarna	a l m a n a v a r t n a
almannavarnir	a l m a n a v a r t n I r
almenna	a l m E n a
almennan	a l m E n a n
almennilega	a l m E n I l E G a
almennilegur	a l m E n I l E G Y r
almenning	a l m E n i N k
almenningi	a l m E n i J c I
almenninginn	a l m E n i J c I n
almenningnum	a l m E n i N n Y m
almennings	a l m E n i N s
almenningsbókasöfn	a l m E n i N s p ou k a s 9 p n_0
almenningshlaupa	a l m E n i N s l_0 9i p a
almenningssamgangna	a l m E n i N s a m k au N n a
almenningssamgöngum	a l m E n i N s a m k 9i N k Y m
almenningssamgöngur	a l m E n i N s a m k 9i N k Y r
almenningstindur	a l m E n i N s t_h I n t Y r
almenningsálitið	a l m E n i N s au l I t I D
almennir	a l m E n I r
almennra	a l m E n r a
almennrar	a l m E n r a r
almenns	a l m E n s
almennt	a l m E n_0 t
almennum	a l m E n Y m
almennur	a l m E n Y r
almáttugan	a l m au h t Y G a n
alpagreinar	a l_0 p a k r ei n a r
alpaklúbburinn	a l_0 p a k_h l u p Y r I n
alrangt	a l r au N_0 t
alríkislögreglan	a l r i c I s t l 9 G r E k l a n
alsett	a l s E h t
alsoddi	a l s O t I
alsír	a l s i r
altari	a l_0 t a r I
altarisganga	a l_0 t a r I s k au N k a
altarisgöngu	a l_0 t a r I s k 9i N k Y
altarissakramentinu	a l_0 t a r I s a k r a m E n_0 t I n Y
altarissakramentið	a l_0 t a r I s a k r a m E n_0 t I D
altarissveinn	a l_0 t a r I s v ei t n_0
altaristöfluna	a l_0 t a r I s t_h 9 p l Y n a
altekinn	a l t_h E c I n
altsvo	a l_0 t s v O
alvara	a l v a r a
alvarleg	a l v a r l E G
alvarlega	a l v a r l E G a
alvarlegan	a l v a r l E G a n
alvarlegar	a l v a r l E G a r
alvarlegir	a l v a r l ei j I r
alvarlegra	a l v a r l E G r a
alvarlegri	a l v a r l E G r I
alvarlegu	a l v a r l E G Y
alvarlegum	a l v a r l E G Y m
alvarlegur	a l v a r l E G Y r
alvarleika	a l v a r l ei k a
alveg	a l v E G
alversta	a l v E r_0 s t a
alvitur	a l v I t Y r
alvöru	a l v 9 r Y
alvörugefni	a l v 9 r Y c E p n I
alvörupabba	a l v 9 r Y p_h a p a
alvörusvip	a l v 9 r Y s v I p
alúð	a: l u D
alúðlega	a: l u D l E G a
alþekkt	a l T E x t
alþingi	a l T i J c I
alþingis	a l T i J c I s
alþingiskosningar	a l T i J c I s k_h O s t n i N k a r
alþingismanna	a l T i J c I s m a n a
alþingismenn	a l T i J c I s m E n
alþjóðabankans	a l T j ou D a p au N_0 k a n s
alþjóðabankinn	a l T j ou D a p au J_0 c I n
alþjóðagjaldeyrissjóðsins	a l T j ou D a c a l t ei r I s j ou D s I n s
alþjóðagjaldeyrissjóðurinn	a l T j ou D a c a l t ei r I s j ou D Y r I n
alþjóðamarkaði	a l T j ou D a m a r_0 k a D I
alþjóðasamfélagið	a l T j ou D a s a m f j E l ai j I D
alþjóðasamfélagsins	a l T j ou D a s a m f j E l a x s I n s
alþjóðastofnana	a l T j ou D a s t O p n a n a
alþjóðasveitanna	a l T j ou D a s v ei t a n a
alþjóðasveitirnar	a l T j ou D a s v ei t I r t n a r
alþjóðasveitunum	a l T j ou D a s v ei t O n Y m
alþjóðavettvangi	a l T j ou D a v E h t v au J c I
alþjóðavæðingar	a l T j ou D a v ai D i N k a r
alþjóðlegar	a l T j ou D l E G a r
alþjóðlegir	a l T j ou D l ei j I r
alþjóðlegra	a l T j ou D l E G r a
alþjóðlegri	a l T j ou D l E G r I
alþjóðlegt	a l T j ou D l E x t
alþjóðlegum	a l T j ou D l E G Y m
alþjóðlegur	a l T j ou D l E G Y r
alþýðubandalaginu	a l T i D Y p a n t a l ai j I n Y
alþýðuflokksins	a l T i D Y f l O h k s I n s
alþýðufylkingarinnar	a l T i D Y f I l_0 c i N k a r I n a r
alþýðusambands	a l T i D Y s a m p a n t s
alþýðusambandsins	a l T i D Y s a m p a n t s I n s
ameríkaninn	a: m E r i k_h a n I n
amerískur	a: m E r i s k Y r
amfetamíni	a m f E t a m i n I
amfetamínneytendur	a m f E t a m i n ei t E n t Y r
amma	a m a
amnesty	a m n E s t i
amper	a m_0 p E r
amsterdam	a m s t E r t a m
amtbókasafninu	a m_0 t p ou k a s a p n I n Y
amtmanni	a m_0 t m a n I
amtmaður	a m_0 t m a D Y r
amtsbókasafnið	a m_0 t s p ou k a s a p n I D
ananas	a: n a n a s
and	a n t
anda	a n t a
andagift	a n t a c I f t
andakt	a n t a x t
andaktugur	a n t a x t Y G Y r
andapollinn	a n t a p_h O t l I n
andarslitrunum	a n t a r_0 s t l I t r O n Y m
andartaki	a n t a r_0 t_h a c I
andartakið	a n t a r_0 t_h a c I D
andartaksins	a n t a r t_h a k s I n s
andartaksstund	a n t a r_0 t_h a k s t Y n t
andartökum	a n t a r t_h 9 k Y m
andarunga	a n t a r u N k a
andarungi	a n t a r u J c I
andavatn	a n t a v a h t n_0
andaðist	a n t a D I s t
anddyri	a n t I r I
anders	a n t E r_0 s
andersen	a n t E r_0 s E n
anderson	a n t E r_0 s O n
andesfjöllin	a n t E s f j 9 t l I n
andfélagslega	a n t f j E l a x s t l E G a
andi	a n t I
andleg	a n t l E G
andlegra	a n t l E G r a
andlegt	a n t l E x t
andlegu	a n t l E G Y
andlit	a n t l I t
andliti	a n t l I t I
andlitinu	a n t l I t I n Y
andlitið	a n t l I t I D
andlitslyftingu	a n t l I t s t l I f t i N k Y
andlitslyftur	a n t l I t s t l I f t Y r
andlitssnyrtingu	a n t l I t s t n I r_0 t i N k Y
andlitssvip	a n t l I t s v I p
andlát	a n t l au t
andláti	a n t l au t I
andorra	a n t O r a
andre	a n t r E
andrea	a n t r E a
andreas	a n t r E a s
andri	a n t r I
andrés	a n t r j E s
andrésson	a n t r j E s O n
andrúmsloft	a n t r u m s t l O f t
andrúmslofti	a n t r u m s t l O f t I
andrúmsloftið	a n t r u m s t l O f t I D
andskota	a n t s k O t a
andskotann	a n t s k O t a n
andskoti	a n t s k O t I
andskotinn	a n t s k O t I n
andskáldsöguna	a n t s k au l t s 9 G Y n a
andsnúinn	a n t s t n u I n
andspænis	a n t s p ai n I s
andstaða	a n t s t a D a
andstreymi	a n t s t r ei m I
andstyggilega	a n t s t I c I l E G a
andstyggilegt	a n t s t I c I l E x t
andstyggilegur	a n t s t I c I l E G Y r
andstyggð	a n t s t I G D
andstyggðar	a n t s t I G D a r
andstætt	a n t s t ai h t
andstæða	a n t s t ai D a
andstæðinga	a n t s t ai D i N k a
andstæðingar	a n t s t ai D i N k a r
andstæðingarnir	a n t s t ai D i N k a r t n I r
andstæðingum	a n t s t ai D i N k Y m
andstæðingur	a n t s t ai D i N k Y r
andstæðingurinn	a n t s t ai D i N k Y r I n
andstæðir	a n t s t ai D I r
andstæðu	a n t s t ai D Y
andstæður	a n t s t ai D Y r
andstöðu	a n t s t 9 D Y
andstöðuflokkur	a n t s t 9 D Y f l O h k Y r
andsvar	a n t s v a r
andsvari	a n t s v a r I
andvaka	a n t v a k a
andvari	a n t v a r I
andvarp	a n t v a r_0 p
andvarpandi	a n t v a r_0 p a n t I
andvarpaði	a n t v a r_0 p a D I
andvarpi	a n t v a r_0 p I
andvirði	a n t v I r D I
andvíg	a n t v i G
andvígir	a n t v i j I r
andvígur	a n t v i G Y r
andvörpum	a n t v 9 r_0 p Y m
andy	a n t i
andúð	a n t u D
anfield	a n f i l t
ang	au N k
anga	au N k a
angan	au N k a n
angandi	au N k a n t I
angar	au N k a r
angel	ei J c E l
angeles	a n t j E l E s
angelu	a J c E l Y
angi	au J c I
anginn	au J c I n
angistarfull	au J c I s t a r_0 f Y t l_0
angraði	au N k r a D I
angur	au N k Y r
angurfull	au N k Y r_0 f Y t l_0
angurvært	au N k Y r v ai r_0 t
ann	a n
anna	a n a
annan	a n a n
annar	a n a r
annarlega	a n a r l E G a
annarlegri	a n a r l E G r I
annarra	a n a r a
annarrar	a n a r a r
annarri	a n a r I
annars	a n a r_0 s
annarskonar	a n a r_0 s k O n a r
annarsstaðar	a n a r_0 s t a D a r
annast	a n a s t
annað	a n a D
annaðhvort	a n a D k_h v O r_0 t
annaðist	a n a D I s t
annika	a n I k a
annmörkum	a n m 9 r_0 k Y m
annríkt	a n r i x t
annt	a n_0 t
ansi	a n s I
anton	a n_0 t O n
antonsdóttir	a n_0 t O n s t ou h t I r
aníta	a: n i t a
apa	a: p a
api	a: p I
app	a h p
apparat	a h p a r a t
appelsín	a h p E l s i n
appelsínugul	a h p E l s i n Y G Y l
appelsínugulum	a h p E l s i n Y G Y l Y m
appelsínugulur	a h p E l s i n Y k Y l Y r
appelsínuhúð	a h p E l s i n Y h u D
appelsínur	a h p E l s i n Y r
appelsínurnar	a h p E l s i n Y r t n a r
appelsínusafa	a h p E l s i n Y s a v a
appelsínusíld	a h p E l s i n Y s i l t
aprílkönnun	a: p_h r i l_0 k_h 9 n Y n
aprílmánuði	a: p_h r i l m au n Y D I
apótekari	a: p ou t_h E k a r I
ara	a: r a
arabíska	a: r a p i s k a
arabísku	a: r a p i s k Y
arabískur	a: r a p i s k Y r
arafat	a: r a f a t
aragrúi	a: r a k r u I
aratungu	a: r a t_h u N k Y
are	a: r
arfi	a r v I
arfleiddi	a r v l ei t I
arfleifð	a r v l ei v D
arftaka	a r_0 f t_h a k a
argentína	a r k E n t_h i n a
argentínu	a r c E n t_h i n Y
argentínumenn	a r c E n t_h i n Y m E n
ari	a: r I
arinbjarnarson	a: r I n p j a r t n a r s O n
aristóteles	a: r I s t ou t_h E l E s
arkitekt	a r_0 c I t_h E x t
arkitektarnir	a r_0 c I t_h E x t a r t n I r
arkitektasamkeppni	a r_0 c I t_h E x t a s a m c_h E h p n I
arkitektsins	a r_0 c I t_h E x t s I n s
armband	a r m p a n t
armbandsúr	a r m p a n t s u r
armkútar	a r m k_h u t a r
armt	a r m_0 t
armur	a r m Y r
arna	a r t n a
arnalds	a r t n a l t s
arnar	a r t n a r
arnardóttir	a r t n a r t ou h t I r
arnarholt	a r t n a r h O l_0 t
arnarholti	a r t n a r_0 h O l_0 t I
arnari	a r t n a r I
arnars	a r t n a r_0 s
arnarsdóttir	a r t n a r_0 s t ou h t I r
arnarson	a r t n a r_0 s O n
arnarsonar	a r t n a r_0 s O n a r
arnarssonar	a r t n a r_0 s O n a r
arnartanga	a r t n a r_0 t_h au N k a
arnarvatnsheiðar	a r t n a r v a s h ei D a r
arnbjörnsson	a r t n_0 p j 9 r_0 s O n
arndal	a r n_0 t a l
arndís	a r n_0 t i s
arnfríður	a r t n_0 f r i D Y r
arngerður	a r t n_0 c E r D Y r
arngrímsson	a r t n_0 k r i m s O n
arnheiður	a r t n_0 h ei D Y r
arnkelsson	a r n_0 c_h E l s O n
arnór	a r t n ou r
arnórsson	a r t n ou r_0 s O n
arnþrúður	a r t n_0 T r u D Y r
arnþór	a r t n_0 T ou r
aron	a: r O n
arsen	a r_0 s E n
arsenal	a r_0 s E n a l
arsene	a r_0 s E n
art	a r_0 t
artemisar	a r_0 t E m I s a r
arð	a r D
arðgreiðslur	a r D k r ei D s t l Y r
arði	a r D I
arðræninginn	a r D r ai n i J c I n
arður	a r D Y r
as	a: s
ashley	a s t l ei
aska	a s k a
asnaeyrunum	a s t n a ei r O n Y m
asnaðist	a s t n a D I s t
asni	a s t n I
aspas	a s p a s
assange	a s a n s
así	a: E s i
at	a: t
ata	a: t a
atbeina	a: t p ei n a
atburða	a: t p Y r D a
atburðanna	a: t p Y r D a n a
atburðarás	a t p Y r D a r au s
atburði	a: t p Y r D I
atburðinn	a: t p Y r D I n
atburðir	a t p Y r D I r
atburðum	a t p Y r D Y m
atburður	a: t p Y r D Y r
atferli	a: t f E r t l I
atferlistruflaðir	a: t f E r t l I s t r Y p l a D I r
atgervi	a: t c E r v I
athafna	a: t a p n a
athafnamannsekja	a: t a p n a m a n s E c a
athafnir	a: t a p n I r
athuga	a: t Y G a
athuganir	a: t Y G a n I r
athugasemd	a: t Y G a s E m t
athugasemda	a: t Y G a s E m t a
athugasemdir	a: t Y G a s E m t I r
athugasemdum	a: t Y G a s E m t Y m
athugavert	a: t Y G a v E r_0 t
athugið	a: t Yi j I D
athugult	a: t Y G Y l_0 t
athygli	a: t I k l I
athyglissýki	a: t I k l I s i c I
athyglisvert	a: t I k l I s v E r_0 t
athyglisverð	a: t I k l I s v E r D
athyglisverða	a: t I k l I s v E r D a
athyglisverðar	a: t I k l I s v E r D a r
athyglisverðri	a: t I k l I s v E r D r I
athyglisverðu	a: t I k l I s v E r D Y
athyglisverðum	a: t I k l I s v E r D Y m
athyglisverðustu	a: t I k l I s v E r D Y s t Y
athæfi	a: t ai v I
athöfn	a: t 9 p n_0
athöfnina	a: t 9 p n I n a
athöfninni	a: t 9 p n I n I
athöfnum	a: t 9 p n Y m
atkvæða	a: t k_h v ai D a
atkvæðagreiðsla	a: t k_h v ai D a k r ei D s t l a
atkvæðagreiðslunnar	a: t k_h v ai D a k r ei D s t l Y n a r
atkvæðamikill	a: t k_h v ai D a m I c I t l
atkvæðanna	a: t k_h v ai D a n a
atkvæði	a: t k_h v ai D I
atkvæðisrétt	a: t k_h v ai D I s r j E h t
atkvæðum	a: t k_h v ai D Y m
atla	a h t l a
atlaga	a: t l a G a
atlanta	a h t l a n_0 t a
atlantis	a h t l a n_0 t I s
atlantshaf	a h t l a n_0 t s h a v
atlantshafi	a h t l a n_0 t s h a v I
atlantshafið	a h t l a n_0 t s h a v I D
atlantshafsbandalaginu	a h t l a n_0 t s h a f s p a n t a l ai j I n Y
atlantshafsbandalagsins	a h t l a n_0 t s h a f s p a n t a l a x s I n s
atlantshafsríkjanna	a h t l a n_0 t s h a f s r i c a n a
atlantshafsstofni	a h t l a n_0 t s h a f s t O p n I
atlantsskipa	a h t l a n_0 t s c I p a
atlas	a h t l a s
atlasfjalla	a h t l a s f j a t l a
atlason	a h t l a s O n
atlavík	a h t l a v i k
atlæti	a: t l ai t I
atlögu	a: t l 9 G Y
atriða	a: t r I D a
atriði	a: t r I D I
atriðinu	a: t r I D I n Y
atriðum	a: t r I D Y m
atvik	a: t v I k
atvika	a: t v I k a
atviki	a: t v I c I
atvikinu	a: t v I c I n Y
atviks	a: t v I k s
atviksorð	a: t v I k s O r D
atviksskráning	a: t v I k s k r au n i N k
atvikum	a: t v I k Y m
atvinna	a: t v I n a
atvinnu	a: t v I n Y
atvinnuflugmannsskírteinis	a: t v I n Y f l Y G m a n s c i r_0 t ei n I s
atvinnufrelsi	a: t v I n Y f r E l s I
atvinnugrein	a: t v I n Y k r ei n
atvinnugreina	a: t v I n Y k r ei n a
atvinnugreinar	a: t v I n Y k r ei n a r
atvinnugreinin	a: t v I n Y k r ei n I n
atvinnugreininni	a: t v I n Y k r ei n I n I
atvinnugreinum	a: t v I n Y k r ei n Y m
atvinnuhluti	a: t v I n Y l_0 Y t I
atvinnuhúsnæði	a: t v I n Y h u s t n ai D I
atvinnuhúsnæðis	a: t v I n Y h u s t n ai D I s
atvinnulausir	a: t v I n Y l 9i s I r
atvinnuleitandi	a: t v I n Y l ei t a n t I
atvinnuleyfi	a: t v I n Y l ei v I
atvinnuleysi	a: t v I n Y l ei s I
atvinnuleysis	a: t v I n Y l ei s I s
